                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.64722,                0.46162,                0.96203,                0.97263,                0.98667,                0.98572,                0.83749,                 0.6047,                 0.3938,                 0.9201,              0.0006734,              0.0006734,              0.0006734
                     70,                0.64968,                 0.4655,                 0.9528,                0.97234,                0.98667,                0.98606,                0.82196,                0.65413,                0.40673,                0.93712,              0.0006536,              0.0006536,              0.0006536
                     71,                0.62811,                0.44828,                0.94787,                0.98285,                0.98667,                0.98625,                0.83772,                0.61539,                0.38996,                0.92323,              0.0006338,              0.0006338,              0.0006338
                     72,                0.61586,                0.43351,                0.92699,                 0.9853,                0.97333,                0.97855,                0.81885,                0.66873,                0.44364,                 0.9581,               0.000614,               0.000614,               0.000614
                     73,                0.63023,                0.46174,                0.94538,                0.98063,                0.97333,                0.98427,                0.84266,                0.61601,                0.42876,                0.94211,              0.0005942,              0.0005942,              0.0005942
                     74,                0.61844,                0.44714,                0.92617,                0.97836,                0.97333,                0.98595,                0.84063,                0.63012,                0.42214,                0.93849,              0.0005744,              0.0005744,              0.0005744
                     75,                0.63422,                0.44338,                0.92525,                0.98645,                0.97101,                0.98553,                0.83004,                0.65337,                0.40076,                0.92709,              0.0005546,              0.0005546,              0.0005546
                     76,                0.63298,                0.43399,                0.94895,                0.96052,                0.97333,                0.98441,                0.84422,                0.61611,                0.40076,                0.93158,              0.0005348,              0.0005348,              0.0005348
                     77,                0.58664,                0.40725,                0.90623,                 0.9729,                0.97333,                0.98456,                 0.8291,                0.61538,                0.40295,                 0.9208,               0.000515,               0.000515,               0.000515
                     78,                0.63911,                 0.4337,                0.96367,                0.96956,                0.97333,                0.98407,                0.82245,                 0.6669,                 0.4277,                0.93313,              0.0004952,              0.0004952,              0.0004952
                     79,                0.60691,                0.41874,                0.92932,                 0.9737,                0.97333,                0.98439,                0.83344,                0.63883,                0.40962,                0.93118,              0.0004754,              0.0004754,              0.0004754
                     80,                0.62003,                0.42407,                0.94335,                0.96103,                0.98639,                0.98574,                0.86032,                0.59343,                0.39553,                0.91968,              0.0004556,              0.0004556,              0.0004556
                     81,                 0.6227,                0.43344,                0.96167,                0.98246,                0.98667,                0.98619,                0.86154,                0.57541,                0.38404,                0.90909,              0.0004358,              0.0004358,              0.0004358
                     82,                0.61177,                0.40941,                0.92006,                0.98663,                0.98389,                0.98648,                0.86688,                0.59131,                 0.3815,                0.90613,               0.000416,               0.000416,               0.000416
                     83,                0.59431,                0.41837,                 0.9248,                 0.9736,                0.98338,                0.98671,                0.86848,                0.56765,                0.37294,                0.89805,              0.0003962,              0.0003962,              0.0003962
                     84,                0.60691,                0.41607,                0.94982,                0.97244,                0.98667,                0.98653,                0.86812,                0.58011,                0.36691,                0.90576,              0.0003764,              0.0003764,              0.0003764
                     85,                0.57952,                0.40821,                0.93986,                0.98273,                0.98667,                0.98648,                0.85225,                0.58679,                0.36596,                0.91176,              0.0003566,              0.0003566,              0.0003566
                     86,                0.57479,                0.38851,                0.90618,                 0.9843,                0.98667,                 0.9865,                0.85447,                0.61554,                0.36931,                0.92322,              0.0003368,              0.0003368,              0.0003368
                     87,                0.59713,                0.41437,                0.93962,                      1,                0.98013,                0.98651,                0.84654,                0.61708,                0.37764,                0.92524,               0.000317,               0.000317,               0.000317
                     88,                0.54876,                0.38403,                0.90038,                0.98659,                0.98086,                0.98657,                0.86459,                  0.593,                0.37109,                0.91338,              0.0002972,              0.0002972,              0.0002972
                     89,                0.55669,                0.37833,                0.90778,                0.99535,                0.97333,                0.98656,                0.86293,                0.59057,                0.37347,                0.91225,              0.0002774,              0.0002774,              0.0002774
                     90,                  0.568,                0.38894,                0.93573,                      1,                0.96976,                0.98671,                0.85503,                0.60663,                0.36637,                0.91725,              0.0002576,              0.0002576,              0.0002576
                     91,                0.49047,                0.34019,                0.87462,                0.97343,                0.97698,                0.98649,                0.85531,                0.60511,                0.36712,                0.91717,              0.0002378,              0.0002378,              0.0002378
                     92,                0.49945,                0.33162,                0.87266,                0.98648,                0.97253,                0.98624,                0.85653,                0.59161,                0.35409,                0.90806,               0.000218,               0.000218,               0.000218
                     93,                0.47884,                0.34403,                0.86694,                0.98585,                0.97333,                0.98648,                0.85194,                0.59912,                0.35658,                0.91097,              0.0001982,              0.0001982,              0.0001982
                     94,                0.47711,                0.33458,                0.86714,                0.97366,                0.98586,                0.98638,                0.85479,                0.58537,                0.36021,                 0.9048,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.4714,                0.32833,                0.86385,                0.98652,                   0.96,                0.98599,                0.85197,                0.56379,                0.36222,                0.89891,              0.0001586,              0.0001586,              0.0001586
                     96,                0.49176,                0.32693,                0.87883,                0.97328,                0.97154,                0.98602,                0.84593,                0.57462,                0.36463,                0.91074,              0.0001388,              0.0001388,              0.0001388
                     97,                0.46395,                 0.3177,                0.86326,                0.96059,                0.98667,                0.98613,                0.84427,                0.58792,                 0.3617,                0.91359,               0.000119,               0.000119,               0.000119
                     98,                0.48307,                0.32862,                0.88243,                0.96977,                0.98667,                0.98633,                0.84811,                0.58246,                0.36171,                0.91075,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.45104,                0.30916,                0.86208,                 0.9686,                0.98667,                 0.9864,                 0.8589,                 0.5723,                0.35307,                0.90716,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.44977,                 0.3187,                0.86231,                0.96721,                0.98667,                0.98649,                0.86245,                0.56689,                0.34757,                0.90522,               5.96e-05,               5.96e-05,               5.96e-05
